Destination Address,,,
Total number of records: 243898,,,
Key,# Records,Probability (count/totalcount),Entropy (-log_2(probability)))
60227,2,8.20E-06,16.8959184
64583,2,8.20E-06,16.8959184
61180,2,8.20E-06,16.8959184
61080,2,8.20E-06,16.8959184
61408,2,8.20E-06,16.8959184
54463,2,8.20E-06,16.8959184
60425,2,8.20E-06,16.8959184
61535,2,8.20E-06,16.8959184
63581,2,8.20E-06,16.8959184
63222,2,8.20E-06,16.8959184
56981,2,8.20E-06,16.8959184
60902,2,8.20E-06,16.8959184
60399,2,8.20E-06,16.8959184
60619,2,8.20E-06,16.8959184
61157,2,8.20E-06,16.8959184
60575,2,8.20E-06,16.8959184
60358,2,8.20E-06,16.8959184
60431,2,8.20E-06,16.8959184
52962,2,8.20E-06,16.8959184
51772,2,8.20E-06,16.8959184
60698,2,8.20E-06,16.8959184
50208,2,8.20E-06,16.8959184
63484,2,8.20E-06,16.8959184
56187,2,8.20E-06,16.8959184
62097,2,8.20E-06,16.8959184
54702,2,8.20E-06,16.8959184
50436,2,8.20E-06,16.8959184
61281,2,8.20E-06,16.8959184
49455,2,8.20E-06,16.8959184
64084,2,8.20E-06,16.8959184
62185,2,8.20E-06,16.8959184
51556,2,8.20E-06,16.8959184
65056,2,8.20E-06,16.8959184
59019,2,8.20E-06,16.8959184
62033,2,8.20E-06,16.8959184
60113,2,8.20E-06,16.8959184
60221,2,8.20E-06,16.8959184
50400,2,8.20E-06,16.8959184
7090,2,8.20E-06,16.8959184
62954,2,8.20E-06,16.8959184
65471,2,8.20E-06,16.8959184
49966,2,8.20E-06,16.8959184
60156,2,8.20E-06,16.8959184
49769,2,8.20E-06,16.8959184
52850,2,8.20E-06,16.8959184
59642,2,8.20E-06,16.8959184
51792,2,8.20E-06,16.8959184
60219,2,8.20E-06,16.8959184
63420,2,8.20E-06,16.8959184
65506,2,8.20E-06,16.8959184
60405,2,8.20E-06,16.8959184
60864,2,8.20E-06,16.8959184
60191,2,8.20E-06,16.8959184
55180,2,8.20E-06,16.8959184
49348,2,8.20E-06,16.8959184
50512,2,8.20E-06,16.8959184
60278,2,8.20E-06,16.8959184
62401,2,8.20E-06,16.8959184
49295,2,8.20E-06,16.8959184
61356,2,8.20E-06,16.8959184
60315,2,8.20E-06,16.8959184
61887,2,8.20E-06,16.8959184
56622,2,8.20E-06,16.8959184
60599,2,8.20E-06,16.8959184
49729,2,8.20E-06,16.8959184
51582,2,8.20E-06,16.8959184
51796,2,8.20E-06,16.8959184
62198,2,8.20E-06,16.8959184
60308,2,8.20E-06,16.8959184
50061,2,8.20E-06,16.8959184
50370,2,8.20E-06,16.8959184
63807,2,8.20E-06,16.8959184
60339,2,8.20E-06,16.8959184
61592,2,8.20E-06,16.8959184
49958,2,8.20E-06,16.8959184
50849,2,8.20E-06,16.8959184
64720,2,8.20E-06,16.8959184
63135,2,8.20E-06,16.8959184
63771,2,8.20E-06,16.8959184
50193,2,8.20E-06,16.8959184
60745,2,8.20E-06,16.8959184
52826,2,8.20E-06,16.8959184
60624,2,8.20E-06,16.8959184
63470,2,8.20E-06,16.8959184
61445,2,8.20E-06,16.8959184
49977,2,8.20E-06,16.8959184
59752,2,8.20E-06,16.8959184
53026,2,8.20E-06,16.8959184
60676,2,8.20E-06,16.8959184
60928,2,8.20E-06,16.8959184
60825,2,8.20E-06,16.8959184
62743,2,8.20E-06,16.8959184
64986,2,8.20E-06,16.8959184
61572,2,8.20E-06,16.8959184
65407,2,8.20E-06,16.8959184
49324,2,8.20E-06,16.8959184
60614,2,8.20E-06,16.8959184
51090,2,8.20E-06,16.8959184
49713,2,8.20E-06,16.8959184
49921,2,8.20E-06,16.8959184
65293,2,8.20E-06,16.8959184
60936,2,8.20E-06,16.8959184
53770,2,8.20E-06,16.8959184
63579,2,8.20E-06,16.8959184
50160,2,8.20E-06,16.8959184
59894,2,8.20E-06,16.8959184
60466,2,8.20E-06,16.8959184
60952,2,8.20E-06,16.8959184
50603,2,8.20E-06,16.8959184
61241,2,8.20E-06,16.8959184
52825,2,8.20E-06,16.8959184
51761,2,8.20E-06,16.8959184
49456,2,8.20E-06,16.8959184
61201,2,8.20E-06,16.8959184
49963,2,8.20E-06,16.8959184
60450,2,8.20E-06,16.8959184
50677,2,8.20E-06,16.8959184
51771,2,8.20E-06,16.8959184
57564,2,8.20E-06,16.8959184
61617,2,8.20E-06,16.8959184
60839,2,8.20E-06,16.8959184
49676,2,8.20E-06,16.8959184
60142,2,8.20E-06,16.8959184
50301,2,8.20E-06,16.8959184
51099,2,8.20E-06,16.8959184
61628,2,8.20E-06,16.8959184
60306,2,8.20E-06,16.8959184
49648,2,8.20E-06,16.8959184
64708,2,8.20E-06,16.8959184
60872,2,8.20E-06,16.8959184
60482,2,8.20E-06,16.8959184
65213,2,8.20E-06,16.8959184
62820,2,8.20E-06,16.8959184
62489,2,8.20E-06,16.8959184
60818,2,8.20E-06,16.8959184
62023,2,8.20E-06,16.8959184
60585,2,8.20E-06,16.8959184
51559,2,8.20E-06,16.8959184
50376,2,8.20E-06,16.8959184
59056,2,8.20E-06,16.8959184
60866,2,8.20E-06,16.8959184
54029,2,8.20E-06,16.8959184
53751,2,8.20E-06,16.8959184
50583,2,8.20E-06,16.8959184
60547,2,8.20E-06,16.8959184
61234,2,8.20E-06,16.8959184
49647,2,8.20E-06,16.8959184
60731,2,8.20E-06,16.8959184
61326,2,8.20E-06,16.8959184
60451,2,8.20E-06,16.8959184
50443,2,8.20E-06,16.8959184
61881,2,8.20E-06,16.8959184
52471,2,8.20E-06,16.8959184
50494,2,8.20E-06,16.8959184
61040,2,8.20E-06,16.8959184
61340,2,8.20E-06,16.8959184
50898,2,8.20E-06,16.8959184
64386,2,8.20E-06,16.8959184
50050,2,8.20E-06,16.8959184
50129,2,8.20E-06,16.8959184
57138,2,8.20E-06,16.8959184
63312,2,8.20E-06,16.8959184
54975,2,8.20E-06,16.8959184
64772,2,8.20E-06,16.8959184
41415,2,8.20E-06,16.8959184
60181,2,8.20E-06,16.8959184
60703,2,8.20E-06,16.8959184
50652,2,8.20E-06,16.8959184
49983,2,8.20E-06,16.8959184
60904,2,8.20E-06,16.8959184
49804,2,8.20E-06,16.8959184
50031,2,8.20E-06,16.8959184
50386,2,8.20E-06,16.8959184
65046,2,8.20E-06,16.8959184
60598,2,8.20E-06,16.8959184
63434,2,8.20E-06,16.8959184
51384,2,8.20E-06,16.8959184
64657,2,8.20E-06,16.8959184
61709,2,8.20E-06,16.8959184
51787,2,8.20E-06,16.8959184
61117,2,8.20E-06,16.8959184
61775,2,8.20E-06,16.8959184
61347,2,8.20E-06,16.8959184
50493,2,8.20E-06,16.8959184
50313,2,8.20E-06,16.8959184
60797,2,8.20E-06,16.8959184
50445,2,8.20E-06,16.8959184
56009,2,8.20E-06,16.8959184
61086,2,8.20E-06,16.8959184
60705,2,8.20E-06,16.8959184
51762,2,8.20E-06,16.8959184
64981,2,8.20E-06,16.8959184
60630,2,8.20E-06,16.8959184
26614,2,8.20E-06,16.8959184
62989,2,8.20E-06,16.8959184
50589,2,8.20E-06,16.8959184
61113,2,8.20E-06,16.8959184
63656,2,8.20E-06,16.8959184
60900,2,8.20E-06,16.8959184
62291,2,8.20E-06,16.8959184
49819,2,8.20E-06,16.8959184
60187,2,8.20E-06,16.8959184
60757,2,8.20E-06,16.8959184
49993,2,8.20E-06,16.8959184
60331,2,8.20E-06,16.8959184
55405,2,8.20E-06,16.8959184
50014,2,8.20E-06,16.8959184
49385,2,8.20E-06,16.8959184
63399,2,8.20E-06,16.8959184
63165,2,8.20E-06,16.8959184
60126,2,8.20E-06,16.8959184
50827,2,8.20E-06,16.8959184
60327,2,8.20E-06,16.8959184
61309,2,8.20E-06,16.8959184
62333,2,8.20E-06,16.8959184
60783,2,8.20E-06,16.8959184
52862,2,8.20E-06,16.8959184
62061,2,8.20E-06,16.8959184
60209,2,8.20E-06,16.8959184
49797,2,8.20E-06,16.8959184
60729,2,8.20E-06,16.8959184
50000,2,8.20E-06,16.8959184
61687,2,8.20E-06,16.8959184
54038,2,8.20E-06,16.8959184
49807,2,8.20E-06,16.8959184
60534,2,8.20E-06,16.8959184
50479,2,8.20E-06,16.8959184
60224,2,8.20E-06,16.8959184
59868,2,8.20E-06,16.8959184
60741,2,8.20E-06,16.8959184
60174,2,8.20E-06,16.8959184
60968,2,8.20E-06,16.8959184
61114,2,8.20E-06,16.8959184
50791,2,8.20E-06,16.8959184
60352,2,8.20E-06,16.8959184
60693,2,8.20E-06,16.8959184
61223,2,8.20E-06,16.8959184
50278,2,8.20E-06,16.8959184
50290,2,8.20E-06,16.8959184
49429,2,8.20E-06,16.8959184
49515,2,8.20E-06,16.8959184
61370,2,8.20E-06,16.8959184
49603,2,8.20E-06,16.8959184
61148,2,8.20E-06,16.8959184
60851,2,8.20E-06,16.8959184
62292,2,8.20E-06,16.8959184
56699,2,8.20E-06,16.8959184
60124,2,8.20E-06,16.8959184
59879,2,8.20E-06,16.8959184
63711,2,8.20E-06,16.8959184
61442,2,8.20E-06,16.8959184
51324,2,8.20E-06,16.8959184
64928,2,8.20E-06,16.8959184
62318,2,8.20E-06,16.8959184
51167,2,8.20E-06,16.8959184
60178,2,8.20E-06,16.8959184
62493,2,8.20E-06,16.8959184
60514,2,8.20E-06,16.8959184
59893,2,8.20E-06,16.8959184
49675,2,8.20E-06,16.8959184
61108,2,8.20E-06,16.8959184
60542,2,8.20E-06,16.8959184
64904,2,8.20E-06,16.8959184
59637,2,8.20E-06,16.8959184
63875,2,8.20E-06,16.8959184
50862,2,8.20E-06,16.8959184
51520,2,8.20E-06,16.8959184
62383,2,8.20E-06,16.8959184
61265,2,8.20E-06,16.8959184
50323,2,8.20E-06,16.8959184
49869,2,8.20E-06,16.8959184
49542,2,8.20E-06,16.8959184
50362,2,8.20E-06,16.8959184
52391,2,8.20E-06,16.8959184
61615,2,8.20E-06,16.8959184
49920,2,8.20E-06,16.8959184
60702,2,8.20E-06,16.8959184
62135,2,8.20E-06,16.8959184
40015,2,8.20E-06,16.8959184
60233,2,8.20E-06,16.8959184
65294,2,8.20E-06,16.8959184
60733,2,8.20E-06,16.8959184
60938,2,8.20E-06,16.8959184
60612,2,8.20E-06,16.8959184
51338,2,8.20E-06,16.8959184
51111,2,8.20E-06,16.8959184
65496,2,8.20E-06,16.8959184
51168,2,8.20E-06,16.8959184
60139,2,8.20E-06,16.8959184
52049,2,8.20E-06,16.8959184
60593,2,8.20E-06,16.8959184
49704,2,8.20E-06,16.8959184
65122,2,8.20E-06,16.8959184
49659,2,8.20E-06,16.8959184
65524,2,8.20E-06,16.8959184
7070,2,8.20E-06,16.8959184
60914,2,8.20E-06,16.8959184
64154,2,8.20E-06,16.8959184
61233,2,8.20E-06,16.8959184
65420,2,8.20E-06,16.8959184
60344,2,8.20E-06,16.8959184
61142,2,8.20E-06,16.8959184
51163,2,8.20E-06,16.8959184
53826,2,8.20E-06,16.8959184
50423,2,8.20E-06,16.8959184
49792,2,8.20E-06,16.8959184
60809,2,8.20E-06,16.8959184
55836,2,8.20E-06,16.8959184
50447,2,8.20E-06,16.8959184
61955,2,8.20E-06,16.8959184
60437,2,8.20E-06,16.8959184
,,,
,,,
Source Port,,,
Total number of records: 243898,,,
Key,# Records,Probability (count/totalcount),Entropy (-log_2(probability)))
138,10315,0.04229227,4.563462202
5357,7193,0.029491837,5.083540514
137,1521,0.006236213,7.325113965
68,604,0.002476445,8.657513663
51868,271,0.00111112,9.813769361
0,256,0.001049619,9.895918402
1025,206,0.000844615,10.20941788
2711,164,0.000672412,10.5383664
2919,164,0.000672412,10.5383664
2503,162,0.000664212,10.5560684
56920,118,0.000483809,11.01327535
53,116,0.000475609,11.03793741
67,79,0.000323906,11.59213765
443,74,0.000303406,11.68646504
62566,71,0.000291105,11.74617128
49732,62,0.000254205,11.94172209
56079,58,0.000237804,12.03793741
17500,58,0.000237804,12.03793741
20000,57,0.000233704,12.06302839
3389,46,0.000188603,12.37235645
102,38,0.000155803,12.64799089
139,36,0.000147603,12.7259934
5355,36,0.000147603,12.7259934
51495,30,0.000123002,12.98902781
59807,30,0.000123002,12.98902781
57621,29,0.000118902,13.03793741
49976,29,0.000118902,13.03793741
520,29,0.000118902,13.03793741
50066,29,0.000118902,13.03793741
49733,29,0.000118902,13.03793741
49978,28,0.000114802,13.08856348
6209,28,0.000114802,13.08856348
27036,28,0.000114802,13.08856348
57271,27,0.000110702,13.1410309
49714,27,0.000110702,13.1410309
